,timestamp,subcourtID,setStake,newTotalStake,address,blockNumber,subcourtLabel
615,2020-03-20 05:54:00,8,0.0,0.0,0x1c66cf8c6970bd7bd269e43b68a6ad7783e6bc9b,9707597,Ongoing
616,2020-03-20 06:26:00,0,0.0,0.0,0x9119c41ad7a14e53b5882210a4acc31eaf23275e,9707747,General
617,2020-03-21 06:24:00,0,0.0,0.0,0x28c63a3d912d882994f53818ba41841fcf645dbe,9714172,General
618,2020-03-21 16:31:00,6,800000.0,800000.0,0xc26f827f1b8cf661a7bca954bb21eb6138a27101,9716888,English Language
619,2020-03-21 16:34:00,5,200441.3618,1000441.3620000001,0xc26f827f1b8cf661a7bca954bb21eb6138a27101,9716897,Marketing Services
620,2020-03-21 18:07:00,8,0.0,0.0,0xe05f41f14e87bc5c52fb396b4e2591475cacffa7,9717314,Ongoing
621,2020-03-21 19:12:00,8,0.0,0.0,0x070d896dc908539e1d7519d79f970ac69406a969,9717623,Ongoing
622,2020-03-21 19:23:00,8,0.0,0.0,0x28c63a3d912d882994f53818ba41841fcf645dbe,9717674,Ongoing
623,2020-03-22 20:09:00,8,0.0,0.0,0xe9cc5638aab66aba87ae6438d879f5dce961d59e,9724198,Ongoing
624,2020-03-23 01:26:00,1,0.0,300000.0,0x133d93566f9699b3af46fe150daa8a67a9563ed6,9725587,Blockchain
625,2020-03-23 01:26:00,6,0.0,200000.0,0x133d93566f9699b3af46fe150daa8a67a9563ed6,9725587,English Language
626,2020-03-23 01:26:00,5,0.0,0.0,0x133d93566f9699b3af46fe150daa8a67a9563ed6,9725587,Marketing Services
627,2020-03-23 13:52:00,5,17678.987409999998,17678.987409999998,0x71f84aa585e1eda8852dad8dff3a69d114366dba,9728877,Marketing Services
628,2020-03-23 23:40:00,0,10000.0,10000.0,0x230c40ff3dd28910a959fe135342ce9e8250ed12,9731572,General
629,2020-03-23 23:44:00,8,3000.0,13000.0,0x230c40ff3dd28910a959fe135342ce9e8250ed12,9731590,Ongoing
630,2020-03-23 23:47:00,6,35200.0,48200.0,0x230c40ff3dd28910a959fe135342ce9e8250ed12,9731605,English Language
631,2020-03-24 06:09:00,0,0.0,0.0,0x4eb7551bee1375f4ecbc4d232001db213ab945dc,9733293,General
632,2020-03-24 18:59:00,5,35200.0,83400.0,0x230c40ff3dd28910a959fe135342ce9e8250ed12,9736644,Marketing Services
633,2020-03-25 06:32:00,8,1050.0,1050.0,0xe505a7cb328a873aa2b872171d1bc09723b7c21f,9739727,Ongoing
634,2020-03-25 13:52:00,6,0.0,2000.0,0x19e36b77a00f976f511a341907751a1ab2e9fc54,9741657,English Language
635,2020-03-25 13:54:00,8,0.0,0.0,0x19e36b77a00f976f511a341907751a1ab2e9fc54,9741667,Ongoing
636,2020-03-25 13:54:00,0,0.0,0.0,0x19e36b77a00f976f511a341907751a1ab2e9fc54,9741667,General
637,2020-03-26 12:10:00,8,0.0,0.0,0x9efa3dd160daa4de237285aa015a7305e8456c19,9747745,Ongoing
638,2020-03-27 10:19:00,2,0.0,0.0,0x49721d502266fb9772be25be1542a97b95fee721,9753698,Blockchain>NonTechnical
639,2020-03-27 10:58:00,5,0.0,0.0,0x8410fb2d0cb776b9b6a6a3c911c220267b7f24d4,9753840,Marketing Services
640,2020-03-27 17:08:00,5,0.0,11000.0,0xc01861eb57bf5508e65ebc98312a15390a52134e,9755525,Marketing Services
641,2020-03-27 17:08:00,8,0.0,0.0,0xc01861eb57bf5508e65ebc98312a15390a52134e,9755525,Ongoing
642,2020-03-28 12:54:00,8,1035.0,1035.0,0xfc592c706dd22bb06f935a19299ec4cc16394774,9760918,Ongoing
643,2020-03-28 12:59:00,0,1035.238025,2070.238025,0xfc592c706dd22bb06f935a19299ec4cc16394774,9760941,General
644,2020-03-28 21:43:00,3,2000000.0,2000000.0,0x010afb8548a5d1a3a3d62f58ca0a5a1329974206,9763281,Blockchain>NonTechnical>TokenListing
